symbol,date,open,high,low,close,volume,sources
SOL,2025-08-12,174.92891728475,193.7,173.66,191.78841274615002,4561388605.639999,2
SOL,2025-08-13,191.78841274615002,204.92,191.45,201.6052124947,6359773945.61,2
SOL,2025-08-14,201.60336303095,209.89,187.35,192.59797705295,7839002743.285,2
SOL,2025-08-15,192.5988805581,198.19,183.44,185.81562776279998,4077995146.2349997,2
SOL,2025-08-16,185.81477747194998,190.14,185.36,189.75349973885,1959059488.2649999,2
SOL,2025-08-17,189.75292475485,195.91,187.53,191.1574139919,2254597540.585,2
SOL,2025-08-18,191.1572480982,191.44,180.11,183.03493247015,3358252867.555,2
SOL,2025-08-19,183.03484551365,185.92,175.68,176.16113861315,3186754185.94,2
SOL,2025-08-20,176.16193936425,188.02,176.05,187.77815378945002,3326374553.5950003,2
SOL,2025-08-21,187.77815378945002,190.08,179.37,180.2803102368,2877137803.75,2
SOL,2025-08-22,180.27984969304998,202.53,177.29,200.64372299964998,5455072633.705,2
SOL,2025-08-23,200.64308194709997,208.4,195.24,204.00337156889998,4177571983.1549997,2
SOL,2025-08-24,204.00357677505,211.94,201.09,205.9061826065,6095101425.595,2
SOL,2025-08-25,205.9077166532,213.47,185.46,187.24922327655,7014439671.18,2
SOL,2025-08-26,187.24420955845,198.11,185.67,195.89254637455,4257417328.845,2
SOL,2025-08-27,195.89300569015,212.08,193.83,202.9316873469,6949044633.965,2
SOL,2025-08-28,202.93285031279999,216.89,201.69,214.42781942405,6541394187.5199995,2
SOL,2025-08-29,214.42566893614998,217.94,199.93,205.17499739800002,7658288431.709999,2
SOL,2025-08-30,205.17224236265,207.03,197.6,202.80006673785,3090506662.42,2
SOL,2025-08-31,202.79859795430002,206.64,200.36,200.76676783695,2686320509.555,2
SOL,2025-09-01,200.76593448979997,204.53,194.22,197.21417264515,3890881403.2799997,2
SOL,2025-09-02,197.2147981416,209.68,196.77,209.55576971515,4668314487.929999,2
SOL,2025-09-03,209.55639641185002,213.01,207.46,210.78815036470002,3717748265.3450003,2
SOL,2025-09-04,210.78815036470002,212.01,201.87,202.45009363295,2825330783.365,2
SOL,2025-09-05,202.4433663684,210.04,201.03,203.4442585214,4165604711.85,2
SOL,2025-09-06,203.4442585214,204.65,199.37,200.21815564029998,1641183721.585,2
SOL,2025-09-07,200.2186795878,207.93,200.17,206.41408969665002,2216933299.625,2
SOL,2025-09-08,206.41226639585,217.14,205.59,214.1632011867,5436756981.835,2
SOL,2025-09-09,214.16327087004998,219.75,210.92,217.24534679020002,4709361665.785,2
SOL,2025-09-10,217.24519584655002,225.97,215.13,224.05845540065002,4897559321.445,2
SOL,2025-09-11,224.0578442045,229.03,221.8,228.8030930334,5145647169.345,2
SOL,2025-09-12,228.8031205728,244.27,228.23,242.33164295985,7140543857.83,2
SOL,2025-09-13,242.33048629625,244.31,235.6,242.54295447200002,4048820876.25,2
SOL,2025-09-14,242.5427975471,249.92,239.35,240.22384568795,5137755220.525,2
SOL,2025-09-15,240.2190512284,244.08,230.21,234.37378293159998,5504847382.335,2
SOL,2025-09-16,234.37461144675,240.98,231.36,236.99479211255,4138653649.25,2
SOL,2025-09-17,236.98876445505,246.71,232.36,244.8887243149,5676934553.505,2
SOL,2025-09-18,244.88565514599998,253.58,242.68,247.61856829365001,5052885792.219999,2
SOL,2025-09-19,247.6191257138,248.64,235.27,238.60635468110002,4091149273.8599997,2
SOL,2025-09-20,238.60487733629998,241.31,237.07,239.59623877545,1873326662.1950002,2
SOL,2025-09-21,239.59665173,241.94,235.46,236.44772473594998,1868236662.18,2
SOL,2025-09-22,236.4471123984,237.08,216.17,220.5282255725,6603632959.1050005,2
SOL,2025-09-23,220.53195582454998,221.77,212.52,213.5286484206,4007672884.5950003,2
SOL,2025-09-24,213.52535916940002,216.5,205.05,211.72312783795002,4542145360.03,2
SOL,2025-09-25,211.7217222177,212.53,191.49,192.60538153695,6786165466.21,2
SOL,2025-09-26,192.6139821974,205.63,190.93,205.31627494065,5743435702.530001,2
SOL,2025-09-27,205.31259181165,205.56,200.01,203.58166744,2142912800.375,2
SOL,2025-09-28,203.58162135735,211.03,198.1,210.82887579865,2415659040.27,2
SOL,2025-09-29,210.8298628457,214.87,204.77,212.9816993412,3721909370.235,2
SOL,2025-09-30,212.97748092569998,213.83,204.32,208.7465563154,3733557347.55,2
SOL,2025-10-01,208.7461178753,222.86,206.43,221.9179361356,4477223787.9800005,2
SOL,2025-10-02,221.92736335235,235.04,219.67,234.87843319995,5236383776.73,2
SOL,2025-10-03,234.87699091644998,237.17,227.34,232.9809880236,5036829542.9,2
SOL,2025-10-04,232.9804858226,234.2,224.33,227.9966029048,2431340206.7999997,2
SOL,2025-10-05,227.9962484339,237.29,226.64,228.6355990452,3807860657.315,2
SOL,2025-10-06,228.63555187539998,237.91,227.66,232.49302078530002,4067243246.2,2
SOL,2025-10-07,232.47,235.27,221.6,223.27,484674786.78,1
USDT,2025-07-08,1.0000087394,1.0014471792,0.9995835248,1.0002128562,61978988726.01,1
USDT,2025-07-09,1.0001064281,1.007,0.9739,1.0002657843,44655242283.965,2
USDT,2025-07-10,1.0002789831999999,1.007,0.953,1.00001066965,59291834164.04,2
USDT,2025-07-11,1.0000218432499999,1.012,0.9805,0.9999310162,74710816458.05,2
USDT,2025-07-12,0.99997698035,1.007,0.9961,1.00014097635,39110363456.585,2
USDT,2025-07-13,1.0001283171000002,1.004,0.9848,1.00019322105,39543647485.145,2
USDT,2025-07-14,1.0002011631999999,1.028,0.9925,1.00001196935,69944080192.055,2
USDT,2025-07-15,1.00002233215,1.019,0.9826,1.0000383377,73555323032.235,2
USDT,2025-07-16,1.0000383377,1.013,0.9866,1.0007082290999998,68367922824.475,2
USDT,2025-07-17,1.0007082290999998,1.015,0.9858,1.00084672735,72643945936.99501,2
